date,Country,confirmed_cases
"Aug 9, 2020",United_States_of_America,4998017
"Aug 10, 2020",India,2215074
"Aug 10, 2020",Brazil,3035422
"Aug 10, 2020",United_States_of_America,5044864
"Aug 11, 2020",India,2268675
"Aug 11, 2020",Brazil,3057470
"Aug 11, 2020",United_States_of_America,5094394
"Aug 12, 2020",India,2329638
"Aug 12, 2020",Brazil,3109630
"Aug 12, 2020",United_States_of_America,5141207
"Aug 13, 2020",India,2396637
"Aug 13, 2020",Brazil,3164785
"Aug 13, 2020",United_States_of_America,5197148
"Aug 14, 2020",India,2461190
"Aug 14, 2020",Brazil,3224876
"Aug 14, 2020",United_States_of_America,5248242
"Aug 15, 2020",United_States_of_America,5313080
"Aug 15, 2020",India,2526192
"Aug 15, 2020",Brazil,3275520
"Aug 16, 2020",India,2589682
"Aug 16, 2020",Brazil,3317096
"Aug 16, 2020",United_States_of_America,5361165
"Aug 17, 2020",India,2647663
"Aug 17, 2020",Brazil,3340197
"Aug 17, 2020",United_States_of_America,5403269
"Aug 18, 2020",India,2702742
"Aug 18, 2020",Brazil,3359570
"Aug 18, 2020",United_States_of_America,5438325
"Aug 19, 2020",India,2767273
"Aug 19, 2020",Brazil,3407354
"Aug 19, 2020",United_States_of_America,5482416
"Aug 20, 2020",India,2836925
"Aug 20, 2020",Brazil,3456652
"Aug 20, 2020",United_States_of_America,5529842
"Aug 21, 2020",India,2905823
"Aug 21, 2020",Brazil,3501975
"Aug 21, 2020",United_States_of_America,5573847
"Aug 22, 2020",India,2975701
"Aug 22, 2020",Brazil,3532330
"Aug 22, 2020",United_States_of_America,5623727
"Aug 23, 2020",United_States_of_America,5668105
"Aug 23, 2020",India,3044940
"Aug 23, 2020",Brazil,3582362
"Aug 24, 2020",Brazil,3605783
"Aug 24, 2020",India,3106348
"Aug 24, 2020",United_States_of_America,5702611
"Aug 25, 2020",Brazil,3622861
"Aug 25, 2020",India,3167323
"Aug 25, 2020",United_States_of_America,5740909
"Aug 26, 2020",India,3234474
"Aug 26, 2020",Brazil,3669995
"Aug 26, 2020",United_States_of_America,5779028
"Aug 27, 2020",India,3310234
"Aug 27, 2020",Brazil,3717156
"Aug 27, 2020",United_States_of_America,5821876
"Aug 28, 2020",Brazil,3761391
"Aug 28, 2020",India,3387500
"Aug 28, 2020",United_States_of_America,5867785
"Aug 29, 2020",Brazil,3804803
"Aug 29, 2020",India,3463972
"Aug 29, 2020",United_States_of_America,5917439
"Aug 30, 2020",India,3542733
"Aug 30, 2020",Brazil,3846153
"Aug 30, 2020",United_States_of_America,5961582
"Aug 31, 2020",Brazil,3862311
"Aug 31, 2020",India,3621245
"Aug 31, 2020",United_States_of_America,5997163
"Sep 1, 2020",Brazil,3908272
"Sep 1, 2020",India,3691166
"Sep 1, 2020",United_States_of_America,6031013
"Sep 2, 2020",Brazil,3950931
"Sep 2, 2020",India,3769523
"Sep 2, 2020",United_States_of_America,6075652
"Sep 3, 2020",Brazil,3997865
"Sep 3, 2020",India,3853406
